Steve Jobs|The only way to do great work is to love what you do.
Abraham Lincoln|In the end, it's not the years in your life that count. It's the life in your years.
Franklin D. Roosevelt|The only limit to our realization of tomorrow will be our doubts of today.
Winston Churchill|Success is not final, failure is not fatal: It is the courage to continue that counts.
Nelson Mandela|The greatest glory in living lies not in never falling, but in rising every time we fall.
John Lennon|Life is what happens when you're busy making other plans.
Theodore Roosevelt|Believe you can and you're halfway there.
Edmund Burke|The only thing necessary for the triumph of evil is for good men to do nothing.
Confucius|It does not matter how slowly you go as long as you do not stop.
Eleanor Roosevelt|The future belongs to those who believe in the beauty of their dreams.
